# t_fs photon_number total_excited_population excited_per_molecule total_excitation Z ReP ImP
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000278e-02 9.999422969913989157e-01 5.770300860102883789e-05 1.154060172020576758e-05 1.000000000000000000e+00 9.999538381258622488e-01 1.154046853443824836e-05 0.000000000000000000e+00
1.000000000000000056e-01 9.997692039477912296e-01 2.307960522091034861e-04 4.615921044182069721e-05 1.000000000000000444e+00 9.998153716802234969e-01 4.615707994410940941e-05 0.000000000000000000e+00
1.500000000000000222e-01 9.994807688072100404e-01 5.192311927901260837e-04 1.038462385580252167e-04 1.000000000000000222e+00 9.995846581821121735e-01 1.038354544719391378e-04 0.000000000000000000e+00
2.000000000000000111e-01 9.990770714419157095e-01 9.229285580844570624e-04 1.845857116168914125e-04 1.000000000000000222e+00 9.992617934410003011e-01 1.845516397499006808e-04 0.000000000000000000e+00
2.500000000000000000e-01 9.985582236297486647e-01 1.441776370251501849e-03 2.883552740503003697e-04 1.000000000000000222e+00 9.988469114967801765e-01 2.882721258049215007e-04 0.000000000000000000e+00
3.000000000000000444e-01 9.979243689973589237e-01 2.075631002641242784e-03 4.151262005282485568e-04 1.000000000000000222e+00 9.983401845179229461e-01 4.149538705192343572e-04 0.000000000000000000e+00
3.500000000000000333e-01 9.971756829546883916e-01 2.824317045312108032e-03 5.648634090624216064e-04 1.000000000000000444e+00 9.977418226459842110e-01 5.645443385039072446e-04 0.000000000000000000e+00
4.000000000000000222e-01 9.963123726323092066e-01 3.687627367691126423e-03 7.375254735382252846e-04 1.000000000000000444e+00 9.970520738765733526e-01 7.369815308566416822e-04 0.000000000000000000e+00
4.500000000000000111e-01 9.953346767851578569e-01 4.665323214842476141e-03 9.330646429684952281e-04 1.000000000000000444e+00 9.962712238685276223e-01 9.321940328680573557e-04 0.000000000000000000e+00
5.000000000000000000e-01 9.942428656657085195e-01 5.757134334291591493e-03 1.151426866858318299e-03 1.000000000000000000e+00 9.953995956683503454e-01 1.150101082912397595e-03 0.000000000000000000e+00
5.500000000000000444e-01 9.930372409395170630e-01 6.962759060483159068e-03 1.392551812096631814e-03 1.000000000000000222e+00 9.944375495449438995e-01 1.390612613763997796e-03 0.000000000000000000e+00
6.000000000000000888e-01 9.917181355579931523e-01 8.281864442007125238e-03 1.656372888401425048e-03 1.000000000000000222e+00 9.933854827318056024e-01 1.653629317048573369e-03 0.000000000000000000e+00
6.500000000000000222e-01 9.902859135542461111e-01 9.714086445753999932e-03 1.942817289150799986e-03 1.000000000000000000e+00 9.922438290015672679e-01 1.939042749608149404e-03 0.000000000000000000e+00
7.000000000000000666e-01 9.887409699410683039e-01 1.125903005893186259e-02 2.251806011786372519e-03 1.000000000000000222e+00 9.910130584631953177e-01 2.246735384201149332e-03 0.000000000000000000e+00
7.500000000000000000e-01 9.870837305527413452e-01 1.291626944725898785e-02 2.583253889451797569e-03 1.000000000000000444e+00 9.896936772378085445e-01 2.576580690547837851e-03 0.000000000000000000e+00
8.000000000000000444e-01 9.853146518049626934e-01 1.468534819503763966e-02 2.937069639007527933e-03 1.000000000000000444e+00 9.882862269627565865e-01 2.928443259310849894e-03 0.000000000000000000e+00
8.500000000000000888e-01 9.834342204977924995e-01 1.656577950220783357e-02 3.313155900441566715e-03 1.000000000000000444e+00 9.867912844042823206e-01 3.302178898929412909e-03 0.000000000000000000e+00
9.000000000000000222e-01 9.814429536617144123e-01 1.855704633828614281e-02 3.711409267657228561e-03 1.000000000000000444e+00 9.852094611443126260e-01 3.697634713921835702e-03 0.000000000000000000e+00
9.500000000000000666e-01 9.793413983496028763e-01 2.065860165039762331e-02 4.131720330079524661e-03 1.000000000000000444e+00 9.835414031332782026e-01 4.114649216680432015e-03 0.000000000000000000e+00
1.000000000000000000e+00 9.771301312590321420e-01 2.286986874096813560e-02 4.573973748193627120e-03 1.000000000000000222e+00 9.817877899560571997e-01 4.553052510985688799e-03 0.000000000000000000e+00
1.050000000000000044e+00 9.748097586089584654e-01 2.519024139104181215e-02 5.038048278208362429e-03 1.000000000000000222e+00 9.799493345923742105e-01 5.012666351906452586e-03 0.000000000000000000e+00
1.100000000000000089e+00 9.723809159042549055e-01 2.761908409574548307e-02 5.523816819149096613e-03 1.000000000000000444e+00 9.780267829116746636e-01 5.493304272081321084e-03 0.000000000000000000e+00
1.150000000000000133e+00 9.698442676046199473e-01 3.015573239538021921e-02 6.031146479076043843e-03 1.000000000000000222e+00 9.760209130053564275e-01 5.994771748660888792e-03 0.000000000000000000e+00
1.200000000000000178e+00 9.672005067510081044e-01 3.279949324899222862e-02 6.559898649798445724e-03 1.000000000000000444e+00 9.739325344844442789e-01 6.516866378888922472e-03 0.000000000000000000e+00
1.250000000000000000e+00 9.644503548215478395e-01 3.554964517845260463e-02 7.109929035690520926e-03 1.000000000000000444e+00 9.717624881900555067e-01 7.059377952486112044e-03 0.000000000000000000e+00
1.300000000000000044e+00 9.615945614568395250e-01 3.840543854316091910e-02 7.681087708632183819e-03 1.000000000000000444e+00 9.695116455816162881e-01 7.622088604595908881e-03 0.000000000000000000e+00
1.350000000000000089e+00 9.586339039738526191e-01 4.136609602614776948e-02 8.273219205229553896e-03 1.000000000000000444e+00 9.671809078184313568e-01 8.204773045392134770e-03 0.000000000000000000e+00
1.400000000000000133e+00 9.555691870565714563e-01 4.443081294342898779e-02 8.886162588685797559e-03 1.000000000000000444e+00 9.647712051889218987e-01 8.807198702769506241e-03 0.000000000000000000e+00
1.450000000000000178e+00 9.524012425365354639e-01 4.759875746346509118e-02 9.519751492693018236e-03 1.000000000000000444e+00 9.622834966614011165e-01 9.429125834649710464e-03 0.000000000000000000e+00
1.500000000000000000e+00 9.491309291185464625e-01 5.086907088145409261e-02 1.017381417629081852e-02 1.000000000000000444e+00 9.597187692599223885e-01 1.007030768501938033e-02 0.000000000000000000e+00
1.550000000000000044e+00 9.457591317344061776e-01 5.424086826559426644e-02 1.084817365311885329e-02 1.000000000000000444e+00 9.570780368923050840e-01 1.073049077692371858e-02 0.000000000000000000e+00
1.600000000000000089e+00 9.422867612970128315e-01 5.771323870298772363e-02 1.154264774059754473e-02 1.000000000000000444e+00 9.543623399038860811e-01 1.140941502402846933e-02 0.000000000000000000e+00
1.650000000000000133e+00 9.387147544173795044e-01 6.128524558262099520e-02 1.225704911652419904e-02 1.000000000000000444e+00 9.515727444953163694e-01 1.210681387617086949e-02 0.000000000000000000e+00
1.700000000000000178e+00 9.350440731148569329e-01 6.495592688514351121e-02 1.299118537702870224e-02 1.000000000000000444e+00 9.487103420671261222e-01 1.282241448321845383e-02 0.000000000000000000e+00
1.750000000000000000e+00 9.312757040568718780e-01 6.872429594312862156e-02 1.374485918862572431e-02 1.000000000000000444e+00 9.457762478830215036e-01 1.355593802924458940e-02 0.000000000000000000e+00
1.800000000000000044e+00 9.274106583338179721e-01 7.258934166618269401e-02 1.451786833323653880e-02 1.000000000000000666e+00 9.427716006689725869e-01 1.430709983275683939e-02 0.000000000000000000e+00
1.850000000000000089e+00 9.234499711381345399e-01 7.655002886186590416e-02 1.531000577237318083e-02 1.000000000000000444e+00 9.396975619589118534e-01 1.507560951027203319e-02 0.000000000000000000e+00
1.900000000000000133e+00 9.193947014656277394e-01 8.060529853437276016e-02 1.612105970687455203e-02 1.000000000000000444e+00 9.365553154166120775e-01 1.586117114584697715e-02 0.000000000000000000e+00
1.950000000000000178e+00 9.152459312638192568e-01 8.475406873618140935e-02 1.695081374723628187e-02 1.000000000000000666e+00 9.333460653817318153e-01 1.666348365456702188e-02 0.000000000000000000e+00
2.000000000000000000e+00 9.110047651842140271e-01 8.899523481578658357e-02 1.779904696315731671e-02 1.000000000000000666e+00 9.300710364390558649e-01 1.748224089023599215e-02 0.000000000000000000e+00
2.050000000000000266e+00 9.066723302570230958e-01 9.332766974297745932e-02 1.866553394859549186e-02 1.000000000000000444e+00 9.267314727719422329e-01 1.831713180701441401e-02 0.000000000000000000e+00
2.100000000000000089e+00 9.022497755885594550e-01 9.775022441144115559e-02 1.955004488228823112e-02 1.000000000000000666e+00 9.233286374581320954e-01 1.916784063546695879e-02 0.000000000000000000e+00
2.149999999999999911e+00 8.977382714549947407e-01 1.022617285450055924e-01 2.045234570900111848e-02 1.000000000000000444e+00 9.198638109693031417e-01 2.003404725767418681e-02 0.000000000000000000e+00
2.200000000000000178e+00 8.931390089623739703e-01 1.068609910376264183e-01 2.137219820752528365e-02 1.000000000000000444e+00 9.163382905967152325e-01 2.091542735082117799e-02 0.000000000000000000e+00
2.250000000000000000e+00 8.884531997828334360e-01 1.115468002171671191e-01 2.230936004343342383e-02 1.000000000000000444e+00 9.127533899454708388e-01 2.181165251363225907e-02 0.000000000000000000e+00
2.300000000000000266e+00 8.836820757907662971e-01 1.163179242092343690e-01 2.326358484184687381e-02 1.000000000000000666e+00 9.091104381000596479e-01 2.272239047498508108e-02 0.000000000000000000e+00
2.350000000000000089e+00 8.788268882305688701e-01 1.211731117694317406e-01 2.423462235388634811e-02 1.000000000000000666e+00 9.054107782879236010e-01 2.364730542801909280e-02 0.000000000000000000e+00
2.400000000000000355e+00 8.738889071632105487e-01 1.261110928367900619e-01 2.522221856735801238e-02 1.000000000000000666e+00 9.016557669763680671e-01 2.458605825590795199e-02 0.000000000000000000e+00
2.450000000000000178e+00 8.688694213078086426e-01 1.311305786921918015e-01 2.622611573843836030e-02 1.000000000000000444e+00 8.978467735835810037e-01 2.553830660410470743e-02 0.000000000000000000e+00
2.500000000000000000e+00 8.637697375880678541e-01 1.362302624119327010e-01 2.724605248238654021e-02 1.000000000000000444e+00 8.939851795006089619e-01 2.650370512484773178e-02 0.000000000000000000e+00
2.550000000000000266e+00 8.585911805116086537e-01 1.414088194883919569e-01 2.828176389767839138e-02 1.000000000000000666e+00 8.900723770903832266e-01 2.748190572740415172e-02 0.000000000000000000e+00
2.600000000000000089e+00 8.533350912991730652e-01 1.466649087008273233e-01 2.933298174016546467e-02 1.000000000000000444e+00 8.861097683312779694e-01 2.847255791718047296e-02 0.000000000000000000e+00
2.650000000000000355e+00 8.480028277998159503e-01 1.519971722001844938e-01 3.039943444003689876e-02 1.000000000000000444e+00 8.820987646747825428e-01 2.947530883130432960e-02 0.000000000000000000e+00
2.700000000000000178e+00 8.425957639914565256e-01 1.574042360085439740e-01 3.148084720170879480e-02 1.000000000000000444e+00 8.780407860679153575e-01 3.048980348302111898e-02 0.000000000000000000e+00
2.750000000000000000e+00 8.371152896379565611e-01 1.628847103620437164e-01 3.257694207240874329e-02 1.000000000000000222e+00 8.739372603017296903e-01 3.151568492456754272e-02 0.000000000000000000e+00
2.800000000000000266e+00 8.315628091220008677e-01 1.684371908779994098e-01 3.368743817559988196e-02 1.000000000000000222e+00 8.697896212897138213e-01 3.255259467757151692e-02 0.000000000000000000e+00
2.850000000000000089e+00 8.259397412757220058e-01 1.740602587242784383e-01 3.481205174485568765e-02 1.000000000000000444e+00 8.655993088062394758e-01 3.360017279844011717e-02 0.000000000000000000e+00
2.900000000000000355e+00 8.202475190099244307e-01 1.797524809900757914e-01 3.595049619801515828e-02 1.000000000000000222e+00 8.613677678384294989e-01 3.465805804039259752e-02 0.000000000000000000e+00
2.950000000000000178e+00 8.144875890151050957e-01 1.855124109848951819e-01 3.710248219697903638e-02 1.000000000000000222e+00 8.570964478845414236e-01 3.572588802886460940e-02 0.000000000000000000e+00
3.000000000000000000e+00 8.086614107290360787e-01 1.913385892709643099e-01 3.826771785419286198e-02 1.000000000000000444e+00 8.527868015161841342e-01 3.680329962095394564e-02 0.000000000000000000e+00
3.050000000000000266e+00 8.027704557307421274e-01 1.972295442692581502e-01 3.944590885385163004e-02 1.000000000000000222e+00 8.484402834991708886e-01 3.788992912520724315e-02 0.000000000000000000e+00
3.100000000000000089e+00 7.968162076377087732e-01 2.031837923622917264e-01 4.063675847245834527e-02 1.000000000000000444e+00 8.440583506312189233e-01 3.898541234219522755e-02 0.000000000000000000e+00
3.150000000000000355e+00 7.908001615820585695e-01 2.091998384179419301e-01 4.183996768358838603e-02 1.000000000000000444e+00 8.396424607559982434e-01 4.008938481100039058e-02 0.000000000000000000e+00
3.200000000000000178e+00 7.847238238156725165e-01 2.152761761843280386e-01 4.305523523686560772e-02 1.000000000000000444e+00 8.351940721480584084e-01 4.120148196298534932e-02 0.000000000000000000e+00
3.250000000000000000e+00 7.785887104866854314e-01 2.214112895133149572e-01 4.428225790266299144e-02 1.000000000000000444e+00 8.307146418748910799e-01 4.232133953127719533e-02 0.000000000000000000e+00
3.300000000000000266e+00 7.723963475256961919e-01 2.276036524743041412e-01 4.552073049486082823e-02 1.000000000000000444e+00 8.262056256359086026e-01 4.344859359102282159e-02 0.000000000000000000e+00
3.350000000000000089e+00 7.661482702829842673e-01 2.338517297170161768e-01 4.677034594340323537e-02 1.000000000000000444e+00 8.216684771927910136e-01 4.458288070180220497e-02 0.000000000000000000e+00
3.400000000000000355e+00 7.598460232421242466e-01 2.401539767578761420e-01 4.803079535157522839e-02 1.000000000000000444e+00 8.171046477241803441e-01 4.572383806895487235e-02 0.000000000000000000e+00
3.450000000000000178e+00 7.534911590289273819e-01 2.465088409710730621e-01 4.930176819421461243e-02 1.000000000000000444e+00 8.125155846101093093e-01 4.687110384747264491e-02 0.000000000000000000e+00
3.500000000000000000e+00 7.470852376701004882e-01 2.529147623298999559e-01 5.058295246597999117e-02 1.000000000000000444e+00 8.079027304732702142e-01 4.802431738168241177e-02 0.000000000000000000e+00
3.550000000000000266e+00 7.406298265536017666e-01 2.593701734463987885e-01 5.187403468927975769e-02 1.000000000000000444e+00 8.032675231254328141e-01 4.918311921864174097e-02 0.000000000000000000e+00
3.600000000000000089e+00 7.341264998871473990e-01 2.658735001128531561e-01 5.317470002257063122e-02 1.000000000000000444e+00 7.986113947151496362e-01 5.034715132121256320e-02 0.000000000000000000e+00
3.650000000000000355e+00 7.275768385550862583e-01 2.724231614449140748e-01 5.448463228898281496e-02 1.000000000000000444e+00 7.939357714109689379e-01 5.151605714725773083e-02 0.000000000000000000e+00
3.700000000000000178e+00 7.209824287521874320e-01 2.790175712478129566e-01 5.580351424956259132e-02 1.000000000000000444e+00 7.892420718221164755e-01 5.268948204447083949e-02 0.000000000000000000e+00
3.750000000000000000e+00 7.143448616958771868e-01 2.856551383041233683e-01 5.713102766082467365e-02 1.000000000000000444e+00 7.845317066462585975e-01 5.386707333843529510e-02 0.000000000000000000e+00
3.800000000000000266e+00 7.076657334957213719e-01 2.923342665042791277e-01 5.846685330085582555e-02 1.000000000000000444e+00 7.798060785018307017e-01 5.504848037454228293e-02 0.000000000000000000e+00
3.850000000000000089e+00 7.009466446639233128e-01 2.990533553360771868e-01 5.981067106721543736e-02 1.000000000000000444e+00 7.750665811457544407e-01 5.623335471356136206e-02 0.000000000000000000e+00
3.900000000000000355e+00 6.941891997771942879e-01 3.058108002228060451e-01 6.116216004456120903e-02 1.000000000000000444e+00 7.703145990680773103e-01 5.742135023298062385e-02 0.000000000000000000e+00
3.950000000000000178e+00 6.873950061930157451e-01 3.126049938069846990e-01 6.252099876139693979e-02 1.000000000000000444e+00 7.655515061081964445e-01 5.861212347295086111e-02 0.000000000000000000e+00
4.000000000000000000e+00 6.805656739483606499e-01 3.194343260516396832e-01 6.388686521032793664e-02 1.000000000000000444e+00 7.607786653388551867e-01 5.980533366528616168e-02 0.000000000000000000e+00
4.049999999999999822e+00 6.737028155392211781e-01 3.262971844607792660e-01 6.525943689215585319e-02 1.000000000000000444e+00 7.559974288054845948e-01 6.100064279862880967e-02 0.000000000000000000e+00
4.100000000000000533e+00 6.668080455578002663e-01 3.331919544422001778e-01 6.663839088844003555e-02 1.000000000000000444e+00 7.512091369405912156e-01 6.219771576485218223e-02 0.000000000000000000e+00
4.150000000000000355e+00 6.598829801307641851e-01 3.401170198692360369e-01 6.802340397384720738e-02 1.000000000000000222e+00 7.464151180272057262e-01 6.339622049319854069e-02 0.000000000000000000e+00
