# N max_abs_P_conn N_times_max_abs_P_conn sqrtN_times_max_abs_P_conn max_abs_Z_conn
2.000000000000000000e+00 2.466060453643829087e-01 4.932120907287658174e-01 3.487536139175050343e-01 2.740722049310306829e-08
3.000000000000000000e+00 2.165063456666426189e-01 6.495190369999278568e-01 3.749999908556947981e-01 2.087881634249555418e-08
5.000000000000000000e+00 1.580611698256122188e-01 7.903058491280611220e-01 3.534355203332075201e-01 7.730285245255430482e-09
8.000000000000000000e+00 1.088234146218086118e-01 8.705873169744688944e-01 3.077990977238246328e-01 3.266754422526219059e-09
1.300000000000000000e+01 7.086741847406470562e-02 9.212764401628411592e-01 2.555161110680042591e-01 1.265965998697993200e-09
2.100000000000000000e+01 4.531732749915711594e-02 9.516638774822994140e-01 2.076700835579913251e-01 5.143635517512734623e-10
3.400000000000000000e+01 2.853849119781778215e-02 9.703087007258045515e-01 1.664065693259415279e-01 2.148261568635234653e-10
5.500000000000000000e+01 1.784927253305796865e-02 9.817099893181883141e-01 1.323737479554226715e-01 9.040457271680679696e-11
8.900000000000000000e+01 1.110923936637331355e-02 9.887223036072249061e-01 1.048043545738662902e-01 3.792821612336183534e-11
1.440000000000000000e+02 6.896107758641368754e-03 9.930395172443571283e-01 8.275329310369641811e-02 1.559508078230464889e-11
2.000000000000000000e+02 4.974958010490445996e-03 9.949916020980892339e-01 7.035653090672260024e-02 8.426703779207400657e-12
